#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
192,Kyle Lowry,908,28682,13381,4289,10136,42.3,1685,4602,36.6,3118,3854,80.9,734,3171,3905,5623,1226,263,2101,50.6,56.5
193,Luol Deng,902,30942,13361,5130,11257,45.6,658,1982,33.2,2443,3175,76.9,1462,4006,5468,2042,880,444,1459,48.5,52.8
194,Jermaine O'Neal,1011,27368,13309,5144,11025,46.7,14,95,14.7,3007,4208,71.5,1991,5270,7261,1369,470,1820,1872,46.7,51.7
195,Al Harrington,981,28003,13237,5028,11318,44.4,977,2778,35.2,2204,3030,72.7,1495,3987,5482,1649,858,246,1838,48.7,52.3
196,Jalen Rose,923,27925,13220,4852,10945,44.3,746,2102,35.5,2770,3457,80.1,491,2702,3193,3527,729,315,2102,47.7,53
197,Corey Maggette,827,23361,13198,4065,8969,45.3,463,1431,32.4,4605,5599,82.2,915,3107,4022,1696,590,139,1874,47.9,57.7
198,Kevin Johnson,735,25059,13127,4512,9160,49.3,160,524,30.5,3943,4691,84.1,487,1917,2404,6711,1082,176,2258,50.1,58.5
199,Brook Lopez,778,23797,13084,5012,10148,49.4,520,1539,33.8,2540,3207,79.2,1635,3332,4967,1185,452,1398,1398,52,56.6
200,Kemba Walker,655,22199,13069,4514,10794,41.8,1448,4027,36,2593,3096,83.8,382,2139,2521,3555,846,258,1424,48.5,53.8
201,Metta World Peace,991,31439,13058,4666,11266,41.4,1154,3402,33.9,2572,3596,71.5,1159,3289,4448,2631,1721,522,1791,46.5,50.8
202,Jeff Mullins,802,24574,13017,5383,11631,46.3,0,0,0,2251,2764,81.4,144,287,3427,3023,140,37,0,46.3,50.7
203,Horace Grant,1165,38625,12996,5439,10695,50.9,4,63,6.3,2114,3053,69.2,3467,5976,9443,2575,1143,1136,1303,50.9,54
203,Josh Smith,894,28999,12996,5089,11247,45.2,450,1578,28.5,2368,3748,63.2,1717,4936,6653,2789,1083,1713,2197,47.2,50.4
205,Kevin Love,713,22803,12993,4280,9673,44.2,1223,3302,37,3210,3875,82.8,1972,5972,7944,1696,486,322,1411,50.6,57.1
206,Stephen Jackson,858,27397,12976,4604,11112,41.4,1252,3763,33.3,2516,3154,79.8,674,2654,3328,2634,1109,317,2141,47.1,51.9
207,Bob Boozer,874,25549,12964,4961,10738,46.2,0,0,0,3042,3998,76.1,0,0,7119,1237,0,0,0,46.2,51.9
208,Kendall Gill,966,29487,12914,5068,11672,43.4,315,1051,30,2463,3267,75.4,1274,2728,4002,2945,1519,432,1734,44.8,49.3
209,Derrick Coleman,781,25902,12884,4616,10335,44.7,326,1105,29.5,3326,4326,76.9,2079,5153,7232,1985,606,1051,2036,46.2,52.6
210,Wayman Tisdale,840,23869,12878,5338,10575,50.5,0,21,0,2202,2897,76,1617,3500,5117,1077,464,500,1407,50.5,54.3
211,Rik Smits,867,23102,12871,5301,10461,50.7,3,26,11.5,2266,2932,77.3,1531,3746,5277,1215,372,1111,1579,50.7,54.8
212,Paul George,646,21646,12863,4349,10046,43.3,1566,4124,38,2599,3072,84.6,585,3547,4132,2162,1127,287,1671,51.1,56.4
213,Mychal Thompson,935,27764,12810,5191,10306,50.4,1,12,8.3,2427,3707,65.5,2229,4722,6951,2141,701,1073,2104,50.4,53.7
214,Paul Westphal,823,20947,12809,5079,10084,50.4,55,200,27.5,2596,3166,82,393,1120,1580,3591,1022,262,1117,50.6,55.8
215,Sidney Wicks,760,25762,12803,5046,11002,45.9,0,2,0,2711,3955,68.5,1539,3268,6620,2437,592,432,667,45.9,50.2
216,Lamar Odom,961,32131,12781,4811,10393,46.3,664,2126,31.2,2495,3599,69.3,1821,6238,8059,3554,848,892,2253,49.5,53.4
217,Mickey Johnson,904,25005,12748,4733,10544,44.9,29,176,16.5,3253,4066,80,2201,4264,6465,2677,1025,632,2050,45,51.7
218,Johnny Newman,1159,28438,12740,4456,9671,46.1,600,1786,33.6,3228,3984,81,950,1586,2536,1688,1064,246,1656,49.2,55.8
219,Bill Cartwright,963,27491,12713,4656,8868,52.5,0,2,0,3401,4412,77.1,1812,4294,6106,1390,460,668,1892,52.5,58.8
220,Thaddeus Young,965,29281,12703,5459,10962,49.8,486,1459,33.3,1299,1940,67,1931,3783,5714,1608,1407,390,1395,52,53.8
221,Armen Gilliam,929,26427,12700,4838,9895,48.9,0,17,0,3024,3896,77.6,2117,4284,6401,1088,676,607,1722,48.9,54.7
222,Jim Jackson,885,29067,12690,4811,11247,42.8,881,2413,36.5,2187,2651,82.5,1190,2962,4152,2851,726,188,2179,46.7,51.1
223,Dell Curry,1083,23551,12670,5090,11146,45.7,1245,3098,40.2,1245,1476,84.3,599,2018,2617,1909,985,238,1299,51.3,53.7
224,Bill Sharman,711,21793,12665,4761,11168,42.6,0,0,0,3143,3559,88.3,0,0,2779,2101,0,0,0,42.6,49.7
225,Nick Van Exel,880,28980,12658,4636,11458,40.5,1528,4278,35.7,1858,2341,79.4,375,2170,2545,5777,726,92,1850,47.1,50.7
226,Otis Birdsong,696,21627,12544,5347,10562,50.6,49,179,27.4,1801,2748,65.5,920,1152,2072,2260,858,143,1491,50.9,53.3
227,Jack Marin,849,24590,12541,5068,10890,46.5,0,0,0,2405,2852,84.3,259,675,4405,1813,155,59,0,46.5,51.6
228,Anthony Davis,521,17997,12526,4661,9024,51.7,246,770,31.9,2958,3691,80.1,1332,4090,5422,1154,721,1255,1004,53,58.8
229,Mike Newlin,837,24574,12507,4720,10133,46.6,62,205,30.2,3005,3456,87,559,1367,2494,3364,702,58,878,46.9,53.7
230,Mark Jackson,1296,39117,12489,4793,10731,44.7,734,2213,33.2,2169,2818,77,1281,3682,4963,10334,1608,117,3155,48.1,52.2
231,Johnny Kerr,905,27784,12480,4909,11751,41.8,0,0,0,2662,3682,72.3,0,0,10092,2004,0,0,0,41.8,46.7
232,Joe Barry Carroll,705,22838,12455,5021,10583,47.4,0,13,0,2413,3232,74.7,1690,3714,5404,1264,687,1122,1964,47.4,51.9
233,Caron Butler,881,28332,12430,4596,10592,43.4,746,2144,34.8,2492,2942,84.7,1103,3284,4387,2007,1163,216,1594,46.9,52.3
234,Charles Oakley,1282,40278,12417,4835,10263,47.1,68,269,25.3,2679,3522,76.1,3924,8281,12205,3217,1351,384,2785,47.4,52.6
235,Kevin Martin,714,21559,12396,3847,8797,43.7,1141,2969,38.4,3561,4091,87,401,1877,2278,1352,643,78,1200,50.2,58.5
236,Darrell Griffith,765,21403,12391,5237,11305,46.3,530,1596,33.2,1387,1961,70.7,780,1739,2519,1627,931,242,1632,48.7,50.9
237,Cazzie Russell,817,22213,12377,5172,11154,46.4,0,0,0,2033,2459,82.7,343,685,3068,1838,239,33,35,46.4,50.6
238,Danny Manning,883,24207,12367,5026,9835,51.1,41,199,20.6,2274,3120,72.9,1523,3092,4615,2063,1000,752,1853,51.3,55.2
239,Maurice Lucas,855,24787,12339,4870,10297,47.3,4,36,11.1,2595,3399,76.3,2119,5401,7520,1987,639,538,1810,47.3,52.3
240,A.C. Green,1278,36554,12331,4544,9202,49.4,124,489,25.4,3119,4250,73.4,3354,6119,9473,1400,1033,546,1434,50.1,55.7
241,Mike Conley,829,26871,12300,4379,9970,43.9,1166,3107,37.5,2376,2905,81.8,367,2093,2460,4687,1192,166,1662,49.8,54.7
242,Johnny Green,1057,24624,12281,4973,10091,49.3,0,0,0,2335,4226,55.3,0,0,9083,1449,0,0,0,49.3,51.4
243,Sleepy Floyd,957,26383,12260,4448,10015,44.4,518,1599,32.4,2846,3493,81.5,626,1868,2494,5175,1120,215,2251,47,53.1
244,Antonio McDyess,1015,28053,12227,5046,10161,49.7,7,60,11.7,2128,3178,67,2478,5160,7638,1300,782,1102,1623,49.7,52.9
245,Marc Gasol,831,27555,12196,4527,9401,48.2,375,1054,35.6,2767,3562,77.7,1371,4971,6342,2864,760,1191,1686,50.1,55.6
246,Maurice Cheeks,1101,34845,12195,4906,9374,52.3,52,204,25.5,2331,2938,79.3,713,2375,3088,7392,2310,294,2268,52.6,57.2
247,Tom Heinsohn,654,19254,12194,4773,11787,40.5,0,0,0,2648,3353,79,0,0,5749,1318,0,0,0,40.5,46
248,Willis Reed,650,23073,12183,4859,10202,47.6,0,0,0,2465,3298,74.7,47,94,8414,1186,12,21,0,47.6,52.3
249,Kelly Tripucka,707,20959,12142,4434,9380,47.3,168,465,36.1,3106,3660,84.9,937,1766,2703,2090,678,137,1697,48.2,55.2
250,John Long,893,22680,12131,5108,10929,46.7,101,314,32.2,1814,2104,86.2,998,1494,2492,1738,912,180,1555,47.2,51.2
250,JR Smith,971,26195,12131,4373,10443,41.9,1929,5167,37.3,1456,1988,73.2,494,2574,3068,2074,973,204,1311,51.1,53.6
252,Norm Nixon,768,27250,12065,5219,10805,48.3,100,340,29.4,1527,1978,77.2,473,1518,1991,6386,1187,71,2368,48.8,51.7
253,DeMarcus Cousins,565,18078,12006,4283,9295,46.1,342,1031,33.2,3098,4205,73.7,1565,4566,6131,1832,805,697,2000,47.9,53.9
254,Klay Thompson,615,20338,11995,4512,9822,45.9,1798,4290,41.9,1173,1384,84.8,273,1857,2130,1416,561,332,1053,55.1,57.5
255,Truck Robinson,772,25141,11988,4816,9971,48.3,1,1,100,2355,3556,66.2,1985,5282,7267,1348,533,510,1592,48.3,52
256,Michael Redd,629,20104,11972,4207,9405,44.7,1045,2751,38,2513,2998,83.8,622,1789,2411,1338,579,66,963,50.3,55.8
257,Danny Ainge,1042,27755,11964,4643,9905,46.9,1002,2651,37.8,1676,1980,84.6,695,2073,2768,4199,1133,132,1566,51.9,55.5
257,Cuttino Mobley,747,27619,11964,4319,9979,43.3,1085,2867,37.8,2241,2684,83.5,543,2359,2902,2015,878,313,1520,48.7,53.6
259,Mookie Blaylock,889,31027,11962,4705,11499,40.9,1283,3816,33.6,1269,1724,73.6,1017,2642,3659,5972,2075,300,2067,46.5,48.8
260,Clyde Lovellette,704,19075,11947,4784,10795,44.3,0,0,0,2379,3141,75.7,0,0,6663,1097,0,0,0,44.3,49.1
261,Herb Williams,1102,28484,11944,5037,10781,46.7,8,84,9.5,1862,2675,69.6,1624,4885,6509,1856,605,1605,1929,46.8,49.9
262,Sidney Moncrief,767,23150,11931,4117,8198,50.2,110,387,28.4,3587,4319,83.1,1424,2151,3575,2793,924,226,1551,50.9,59.1
263,Scott Wedman,906,25927,11916,5153,10713,48.1,84,251,33.5,1526,1923,79.4,1502,2853,4355,1771,846,301,883,48.5,51.5
264,Kyle Korver,1224,31056,11903,4088,9244,44.2,2437,5685,42.9,1290,1472,87.6,344,3281,3625,2107,799,403,1284,57.4,60.2
265,Kyrie Irving,528,17827,11842,4346,9332,46.6,1119,2870,39,2031,2316,87.7,407,1548,1955,3013,699,187,1394,52.6,57.2
265,David Wesley,949,30273,11842,4248,10023,42.4,1123,3051,36.8,2223,2827,78.6,526,1879,2405,4159,1280,161,1808,48,52.6
267,Vin Baker,791,25734,11839,4692,9675,48.5,39,181,21.5,2416,3787,63.8,2263,3604,5867,1509,582,798,1756,48.7,52.2
268,Thurl Bailey,928,24873,11834,4753,10056,47.3,4,35,11.4,2324,2863,81.2,1304,3414,4718,1298,435,1086,1444,47.3,52.3
269,Vinnie Johnson,984,24308,11825,4882,10515,46.4,83,327,25.4,1978,2673,74,1451,1658,3109,3212,852,253,1569,46.8,50.6
269,Jerome Kersey,1153,28114,11825,4723,10166,46.5,58,288,20.1,2321,3364,69,2330,4009,6339,2134,1439,799,1583,46.7,50.8
271,Archie Clark,725,23581,11819,4693,9784,48,0,0,0,2433,3163,76.9,130,383,2427,3498,231,15,0,48,52.9
272,Al Horford,846,27633,11814,4967,9557,52,454,1256,36.1,1426,1891,75.4,1787,5223,7010,2792,688,1002,1329,54.3,56.9
273,Paul Silas,1254,34989,11782,4293,9949,43.2,0,0,0,3196,4748,67.3,2035,3213,12357,2572,358,138,333,43.2,48.9
274,Damon Stoudamire,878,29107,11763,4329,10662,40.6,1236,3464,35.7,1869,2244,83.3,703,2336,3039,5371,953,81,2039,46.4,50.5
275,Dick Snyder,964,25676,11755,4890,10019,48.8,0,0,0,1975,2398,82.4,248,740,2732,2767,300,157,84,48.8,53.1
276,Gerald Wilkins,900,26092,11736,4754,10564,45,418,1322,31.6,1810,2429,74.5,975,1671,2646,2697,907,208,1687,47,50.4
277,Dikembe Mutombo,1196,36795,11729,4169,8045,51.8,0,2,0,3391,4960,68.4,3808,8551,12359,1240,494,3289,2173,51.8,57.3
278,Jeff Green,900,26573,11657,4234,9599,44.1,919,2750,33.4,2270,2821,80.5,832,3156,3988,1403,650,481,1350,48.9,53.8
279,Jimmy Walker,698,23590,11655,4624,10039,46.1,0,0,0,2407,2903,82.9,139,481,1860,2429,253,36,0,46.1,51.5
280,Jamal Mashburn,611,22766,11644,4277,10222,41.8,767,2226,34.5,2323,3032,76.6,697,2574,3271,2414,632,109,1585,45.6,50.4
281,JJ Redick,890,23085,11589,3868,8636,44.8,1860,4474,41.6,1993,2236,89.1,167,1661,1828,1800,408,84,994,55.6,60.2
282,Kevin Loughery,755,22208,11575,4477,10829,41.3,0,0,0,2621,3262,80.3,0,0,2254,2803,0,0,0,41.3,47.2
283,Don Ohl,727,22413,11549,4685,10806,43.4,0,0,0,2179,2975,73.2,0,0,2163,2243,0,0,0,43.4,47.7
284,Nick Anderson,800,24924,11529,4416,9891,44.6,1055,2964,35.6,1642,2461,66.7,1011,3053,4064,2087,1114,364,1358,50,52.5
285,Junior Bridgeman,849,21257,11517,4801,10099,47.5,40,164,24.4,1875,2216,84.6,910,2085,2995,2066,685,220,1169,47.7,52
286,Rudy LaRusso,736,24487,11507,4102,9521,43.1,0,0,0,3303,4308,76.7,0,0,6936,1556,0,0,0,43.1,50.4
287,Happy Hairston,776,24330,11505,4240,8872,47.8,0,0,0,3025,4080,74.1,639,1347,8019,1268,116,28,0,47.8,53.9
288,Larry Johnson,707,25685,11450,4401,9086,48.4,367,1104,33.2,2281,2978,76.6,1794,3506,5300,2298,515,258,1435,50.5,55.1
289,Bradley Beal,545,18832,11425,4162,9204,45.2,1241,3268,38,1860,2306,80.7,450,1719,2169,2171,622,214,1241,52,55.9
290,Gilbert Arenas,552,19350,11402,3722,8850,42.1,1079,3077,35.1,2879,3584,80.3,444,1724,2168,2909,884,134,1744,48.2,54.7
291,Dan Roundfield,746,23443,11318,4289,8852,48.5,7,61,11.5,2733,3702,73.8,2445,4798,7243,1620,664,1117,1806,48.5,54
292,Willie Naulls,716,20620,11305,4526,11145,40.6,0,0,0,2253,2774,81.2,0,0,6508,1114,0,0,0,40.6,45.7
293,Goran Dragic,812,22767,11289,4138,8927,46.4,985,2704,36.4,2028,2658,76.3,586,1894,2480,3921,802,149,1838,51.9,55.9
294,Tayshaun Prince,1017,31576,11272,4583,10082,45.5,569,1550,36.7,1537,2033,75.6,1125,3207,4332,2407,571,500,1064,48.3,51.3
295,David Thompson,509,16305,11264,4213,8365,50.4,23,83,27.7,2815,3616,77.8,737,1184,1921,1631,459,407,1129,50.5,56.6
296,Ed Macauley,641,18071,11234,3742,8589,43.6,0,0,0,3750,4929,76.1,0,0,4325,2079,0,0,0,43.6,52.2
297,David Lee,829,24293,11232,4587,8566,53.5,1,29,3.4,2057,2666,77.2,2150,5170,7320,1825,625,329,1454,53.6,57.7
298,Jrue Holiday,707,23508,11224,4430,9791,45.2,920,2592,35.5,1444,1859,77.7,610,2157,2767,4529,1056,360,1939,49.9,52.9
299,Trevor Ariza,1064,31653,11215,4003,9464,42.3,1535,4362,35.2,1674,2288,73.2,1044,4086,5130,2297,1584,331,1441,50.4,53.6
300,Joe Smith,1030,27022,11208,4325,9512,45.5,30,126,23.8,2528,3200,79,2456,4119,6575,1010,606,868,1290,45.6,51.3
301,John Johnson,869,25681,11200,4575,10254,44.6,0,1,0,2050,2633,77.9,1021,2121,4778,3285,487,235,917,44.6,49.1
302,Jim Paxson,784,21357,11199,4545,9134,49.8,98,435,22.5,2011,2493,80.7,519,1074,1593,2300,951,93,1144,50.3,54.7
303,Larry Foust,817,21890,11198,3814,9414,40.5,0,0,0,3570,4816,74.1,0,0,8041,1368,0,0,0,40.5,48.5
304,Derrick Rose,596,19402,11185,4375,9589,45.6,469,1541,30.4,1966,2378,82.7,497,1534,2031,3334,450,204,1576,48.1,52.6
305,Christian Laettner,868,25754,11121,4036,8405,48,92,353,26.1,2957,3604,82,1621,4185,5806,2224,917,675,1932,48.6,55.7
306,Ben Gordon,744,20365,11084,3931,9092,43.2,1171,2921,40.1,2051,2394,85.7,333,1518,1851,1868,508,114,1551,49.7,54.6
307,Mike Dunleavy,986,27339,11048,3935,8926,44.1,1304,3460,37.7,1874,2333,80.3,698,3513,4211,2185,719,324,1369,51.4,55.5
308,Hedo Turkoglu,997,26700,11022,3851,9034,42.6,1246,3246,38.4,2074,2645,78.4,647,3324,3971,2832,750,299,1578,49.5,54
309,Bill Bridges,926,30878,11012,4181,9463,44.2,0,0,0,2650,3824,69.3,257,376,11054,2553,69,36,0,44.2,49.4
310,Eric Gordon,663,21755,10991,3733,8783,42.5,1549,4186,37,1976,2436,81.1,274,1360,1634,1894,598,226,1306,51.3,55.8
311,Mark Price,722,21557,10989,3939,8345,47.2,976,2428,40.2,2135,2362,90.4,409,1439,1848,4863,860,76,1790,53,58.6
312,Mike Woodson,786,20021,10981,4368,9364,46.6,120,443,27.1,2125,2615,81.3,655,1183,1838,1822,952,275,1331,47.3,52.2
313,Zydrunas Ilgauskas,843,22965,10976,4207,8842,47.6,31,100,31,2531,3243,78,2444,3747,6191,955,421,1327,1509,47.8,53.4
314,Mike Miller,1032,27817,10973,4016,8747,45.9,1590,3910,40.7,1351,1757,76.9,632,3744,4376,2666,573,229,1561,55,57.6
315,Mike Gminski,938,24058,10953,4208,9047,46.5,6,49,12.2,2531,3002,84.3,2082,4398,6480,1203,507,989,1368,46.5,52.8
316,Marvin Williams,1066,30041,10941,3919,8854,44.3,1042,2882,36.2,2061,2551,80.8,1266,4245,5511,1369,823,573,1016,50.1,54.8
317,Dan Majerle,955,30207,10925,3950,9171,43.1,1360,3798,35.8,1665,2246,74.1,1125,3140,4265,2755,1194,360,1116,50.5,53.8
318,Vernon Maxwell,855,24318,10912,3932,9878,39.8,1256,3931,32,1792,2446,73.3,378,1822,2200,2912,975,152,1663,46.2,49.8
319,Nene,965,25237,10909,4175,7621,54.8,7,53,13.2,2552,3864,66,1688,4140,5828,1719,1041,721,1688,54.8,58.5
320,Ricky Sobers,821,22992,10902,4250,9262,45.9,130,447,29.1,2272,2695,84.3,672,1460,2132,3525,1085,161,1973,46.6,52.2
321,Don Nelson,1053,21685,10898,4017,8373,48,0,0,0,2864,3744,76.5,273,723,5192,1526,65,35,0,48,54.4
322,Alvin Robertson,779,24669,10882,4412,9245,47.7,236,800,29.5,1822,2451,74.3,1621,2445,4066,3929,2112,323,2116,49,52.7
322,Bingo Smith,865,22407,10882,4776,10642,44.9,23,81,28.4,1307,1637,79.8,653,1519,3630,1734,431,167,237,45,47.9
324,John Wall,573,20545,10879,3942,9107,43.3,539,1663,32.4,2456,3144,78.1,330,2153,2483,5282,976,396,2191,46.2,51.9
325,Raymond Felton,971,28829,10853,4105,9959,41.2,925,2813,32.9,1718,2175,79,552,2315,2867,5096,1144,207,2008,45.9,49.7
326,John Starks,866,23519,10829,3953,9590,41.2,1222,3591,34,1701,2211,76.9,417,1712,2129,3085,951,106,1533,47.6,51.3
327,Cliff T. Robinson,629,19284,10823,4493,9596,46.8,7,36,19.4,1830,2533,72.2,1363,3874,5237,1249,655,441,1571,46.9,50.5
328,Elden Campbell,1045,25776,10805,4062,8835,46,2,37,5.4,2679,3832,69.9,1880,4236,6116,1199,702,1602,1367,46,51.3
329,Kenny Anderson,858,25869,10789,4002,9512,42.1,547,1580,34.6,2238,2833,79,670,1971,2641,5196,1258,111,1769,44.9,50.1
330,Mo Williams,818,23869,10759,4051,9326,43.4,1094,2891,37.8,1563,1795,87.1,407,1857,2264,3990,721,121,1849,49.3,53.2
331,Donyell Marshall,957,25030,10716,4096,9410,43.5,902,2578,35,1622,2219,73.1,1898,4478,6376,1305,790,848,1292,48.3,51.6
332,Derek Fisher,1287,32713,10713,3720,9329,39.9,1248,3341,37.4,2025,2479,81.7,414,2244,2658,3804,1352,98,1473,46.6,51.4
333,Anfernee Hardaway,704,23713,10684,3995,8731,45.8,503,1591,31.6,2191,2831,77.4,975,2171,3146,3525,1125,312,1786,48.6,53.5
334,Carl Braun,788,18409,10625,3912,10211,38.3,0,0,0,2801,3484,80.4,0,0,2122,2892,0,0,0,38.3,45.2
335,Wes Unseld,984,35832,10624,4369,8586,50.9,3,6,50,1883,2976,63.3,2085,4974,13769,3822,628,367,579,50.9,53.7
336,Devin Harris,985,23961,10597,3486,8072,43.2,832,2558,32.5,2793,3507,79.6,290,1861,2151,3869,998,194,1682,48.3,55.1
337,Jerry Sloan,755,25750,10571,4116,9646,42.7,0,0,0,2339,3239,72.2,367,843,5615,1925,381,32,0,42.7,47.7
338,Billy Knight,671,18412,10561,4064,8026,50.6,34,124,27.4,2399,2892,83,1158,1879,3037,1435,627,91,1256,50.8,56.8
339,Sean Elliott,742,24502,10544,3852,8290,46.5,589,1572,37.5,2251,2816,79.9,819,2385,3204,1897,576,284,1328,50,55.3
340,Brian Winters,650,19938,10537,4490,9457,47.5,114,314,36.3,1443,1713,84.2,470,1218,1688,2674,792,190,1014,48.1,51.6
341,Clar. Weatherspoon,915,27737,10483,4025,8537,47.1,10,51,19.6,2423,3261,74.3,2126,4720,6846,1346,880,794,1430,47.2,52.6
342,Austin Carr,682,19660,10473,4359,9714,44.9,2,13,15.4,1753,2181,80.4,711,760,1990,1878,433,66,470,44.9,49.1
343,Cedric Maxwell,835,23769,10465,3433,6293,54.6,1,19,5.3,3598,4592,78.4,2108,3153,5261,1862,671,433,1841,54.6,62.9
344,Robert Reid,919,25109,10448,4443,9706,45.8,103,354,29.1,1459,1992,73.2,1167,3001,4168,2500,973,403,1319,46.3,49.4
345,Steve Francis,576,21629,10446,3543,8267,42.9,575,1684,34.1,2785,3494,79.7,960,2255,3215,3473,846,223,2030,46.3,53.3
346,Giannis Antetokounmpo,522,16983,10435,3811,7258,52.5,303,1065,28.5,2510,3467,72.4,878,3749,4627,2250,618,684,1437,54.6,59.4
347,Lafayette Lever,752,23814,10433,4244,9504,44.7,162,523,31,1783,2312,77.1,1442,3081,4523,4696,1666,209,1471,45.5,49.6
348,Guy Rodgers,892,28663,10415,4125,10908,37.8,0,0,0,2165,3003,72.1,0,0,3791,6917,0,0,0,37.8,42.6
349,Brad Daugherty,548,20029,10389,3823,7189,53.2,2,14,14.3,2741,3670,74.7,1207,4020,5227,2028,422,397,1511,53.2,59
350,Wayne Embry,831,21763,10380,3993,9067,44,0,0,0,2394,3741,64,0,0,7544,1194,0,0,0,44,48.4
351,Wesley Matthews,786,25108,10366,3546,8373,42.4,1656,4347,38.1,1618,1964,82.4,404,1996,2400,1695,827,155,999,52.2,56.1
352,Sam Lacey,1002,31873,10303,4276,9693,44.1,3,16,18.8,1748,2369,73.8,1647,5226,9687,3754,999,1160,978,44.1,48
353,Calvin Natt,599,18818,10291,4003,7580,52.8,16,73,21.9,2269,2954,76.8,1370,2700,4070,1306,525,191,1256,52.9,57.9
354,Derrick McKey,937,27226,10266,3908,8048,48.6,203,642,31.6,2247,2885,77.9,1515,2872,4387,2254,1072,611,1713,49.8,55.1
355,Larry Hughes,727,22370,10242,3738,9200,40.6,524,1696,30.9,2242,2963,75.7,738,2301,3039,2290,1092,255,1554,43.5,48.8
356,Ray Scott,684,21339,10184,3906,9641,40.5,0,0,0,2372,3293,72,0,0,7154,1618,0,0,0,40.5,45.9
357,Leroy Ellis,1048,27520,10176,4143,9378,44.2,0,0,0,1890,2595,72.8,534,1060,8709,1405,146,151,0,44.2,48.4
358,Eddie Johnson,675,19975,10163,4015,8436,47.6,104,319,32.6,2029,2564,79.1,470,1052,1522,3436,761,89,1717,48.2,53.1
359,Ray Williams,655,18462,10158,3962,8794,45.1,91,384,23.7,2143,2673,80.2,814,1556,2370,3779,1198,208,2099,45.6,50.9
360,George Mikan,439,8350,10156,3544,8783,40.4,0,0,0,3068,3924,78.2,0,0,4167,1245,0,0,0,40.4,48.3
361,Vern Fleming,893,24721,10125,3964,7954,49.8,38,210,18.1,2159,2826,76.4,979,2033,3012,4293,926,105,1795,50.1,55
362,Serge Ibaka,803,23001,10099,4195,8154,51.4,528,1461,36.1,1181,1554,76,1734,4172,5906,618,347,1668,1080,54.7,57.1
363,Gene Shue,699,23338,10068,3715,9378,39.6,0,0,0,2638,3273,80.6,0,0,2855,2608,0,0,0,39.6,46.5
364,Vern Mikkelsen,699,18443,10063,3547,8812,40.3,0,0,0,2969,3874,76.6,0,0,5940,1515,0,0,0,40.3,47.8
365,Charlie Scott,560,19278,10037,4113,9266,44.4,2,11,18.2,1809,2344,77.2,461,1208,2034,2696,608,152,656,44.4,48.7
366,Neil Johnston,516,18298,10023,3303,7435,44.4,0,0,0,3417,4447,76.8,0,0,5856,1269,0,0,0,44.4,53.4
367,Terrell Brandon,724,21546,9994,3908,8720,44.8,394,1110,35.5,1784,2043,87.3,425,1749,2174,4407,1142,226,1419,47.1,51.9
368,Rony Seikaly,678,21395,9991,3647,7540,48.4,6,32,18.8,2691,3961,67.9,2142,4282,6424,860,453,872,1913,48.4,53.8
369,Greg Ballard,802,22073,9953,4220,8942,47.2,93,275,33.8,1420,1805,78.7,1434,3424,4858,1733,877,256,1059,47.7,51.1
370,John Lucas,928,25556,9951,3905,8696,44.9,244,806,30.3,1897,2446,77.6,490,1661,2151,6454,1273,73,1803,46.3,50.9
371,Don Kojis,814,19241,9948,3947,8853,44.6,0,0,0,2054,2853,72,140,282,4555,1112,89,16,0,44.6,49.2
372,Gus Johnson,581,20140,9944,4126,9383,44,0,0,0,1692,2420,69.9,0,0,7379,1541,0,0,0,44,47.6
373,Jameer Nelson,878,24542,9940,3790,8692,43.6,1153,3134,36.8,1207,1491,81,426,2169,2595,4508,772,68,1831,50.2,53.2
374,Gerald Wallace,832,24732,9933,3516,7492,46.9,407,1303,31.2,2494,3517,70.9,1145,3693,4838,1725,1200,681,1486,49.6,54.9
375,Phil Chenier,578,19116,9931,4120,9271,44.4,6,15,40,1685,2091,80.6,366,1141,2063,1742,682,238,157,44.5,48.7
376,Phil Smith,659,19166,9924,4007,8418,47.6,19,75,25.3,1891,2428,77.9,588,1390,1978,2561,734,165,990,47.7,52.3
377,Ricky Davis,736,21927,9912,3747,8410,44.6,583,1614,36.1,1835,2349,78.1,566,1984,2550,2426,732,187,1606,48,52.5
378,Tom Meschery,778,23459,9904,3877,8793,44.1,0,0,0,2150,2885,74.5,0,0,6698,1331,0,0,0,44.1,49.2
379,Tom Gugliotta,763,23559,9895,3871,8584,45.1,208,732,28.4,1945,2570,75.7,1595,3994,5589,2140,1079,492,1735,46.3,50.9
380,P.J. Brown,1089,33826,9870,3852,8365,46,8,59,13.6,2158,2718,79.4,3002,5407,8409,1661,912,1116,1342,46.1,51.6
381,Danny Granger,586,18487,9855,3332,7672,43.4,1006,2644,38,2185,2577,84.8,674,2214,2888,1097,561,481,1098,50,56
382,Jimmy Butler,577,19080,9823,3190,7030,45.4,504,1512,33.3,2939,3521,83.5,866,2070,2936,2136,914,275,883,49,57.2
383,Toni Kukoc,846,22215,9810,3633,8127,44.7,731,2184,33.5,1813,2487,72.9,1016,2539,3555,3119,817,290,1544,49.2,53.2
384,Hot Rod Williams,887,26328,9784,3688,7681,48,2,19,10.5,2406,3315,72.6,2070,3928,5998,1592,746,1456,1208,48,53.5
